Year,District,Season,Rainfall_mm,Temperature_K,Area_hectare,N,P,K,Production_tonnes,Yield_tph,Crop
1997,GULBARGA,Kharif     ,1016.686202,301.4189104,76,133,79,40,99,1.302631579,Ragi
1997,GULBARGA,Kharif     ,1016.479304,301.3711262,6591,141,26,98,12179,1.847822789,Rice
1997,GULBARGA,Rabi       ,1014.113334,301.3345054,1846,109,66,36,3963,2.1468039,Rice
1997,GULBARGA,Summer     ,1017.106586,302.0445732,636,120,74,56,1792,2.817610063,Rice
1997,HASSAN,Kharif     ,1016.381345,298.5651006,4808,93,26,96,13259,2.757695507,Maize
1997,HASSAN,Rabi       ,1016.826963,298.5484876,9,57,45,38,18,2,Maize
1997,HASSAN,Kharif     ,1014.58705,296.9860271,106980,96,59,49,143458,1.340979622,Ragi
1997,HASSAN,Rabi       ,1016.238025,297.1201778,15851,84,24,64,18853,1.189388682,Ragi
1997,HASSAN,Summer     ,1017.840792,297.3820893,788,127,40,37,1459,1.851522843,Ragi
1997,HASSAN,Kharif     ,1017.97094,297.9661388,53948,130,33,97,147084,2.726403203,Rice
1997,HASSAN,Rabi       ,1015.618077,298.0516566,4744,85,23,81,12700,2.677065767,Rice
1997,HASSAN,Summer     ,1015.873451,297.9239773,8904,99,42,55,27796,3.121743037,Rice
1997,KODAGU,Kharif     ,1016.546048,307.0201763,1510,53,61,71,3295,2.182119205,Maize
1997,KODAGU,Summer     ,1016.599739,306.8670757,40,51,39,38,88,2.2,Maize
1997,KODAGU,Kharif     ,1015.209722,307.8054763,360,55,34,63,470,1.305555556,Ragi
1997,KODAGU,Summer     ,1015.500526,307.8654547,20,103,69,26,37,1.85,Ragi
1997,KODAGU,Kharif     ,1016.563242,307.1587504,39414,53,71,63,87476,2.219414421,Rice
1997,KODAGU,Rabi       ,1015.413922,306.9996691,83,103,64,87,180,2.168674699,Rice
1997,KODAGU,Summer     ,1015.394012,306.1339106,835,142,48,53,2380,2.850299401,Rice
1997,KOLAR,Kharif     ,1016.533659,302.1975293,11503,112,27,85,40636,3.532643658,Maize
1997,KOLAR,Rabi       ,1014.608395,302.3525078,239,67,60,88,489,2.046025105,Maize
1997,KOLAR,Summer     ,1017.380187,301.08545,740,139,67,74,1601,2.163513514,Maize
1997,KOLAR,Kharif     ,1017.791832,302.4601541,100225,93,38,29,142957,1.426360688,Ragi
1997,KOLAR,Rabi       ,1016.747198,301.9829193,187,83,67,61,254,1.35828877,Ragi
1997,KOLAR,Summer     ,1014.650102,301.7257524,574,123,58,60,1063,1.851916376,Ragi
1997,KOLAR,Kharif     ,1017.168341,302.2246363,12130,111,65,96,26791,2.208656224,Rice
1997,KOLAR,Rabi       ,1014.503493,301.6344908,330,149,47,88,714,2.163636364,Rice
1997,KOLAR,Summer     ,1015.0638,301.6035303,7914,63,65,29,22059,2.787338893,Rice
1997,MANDYA,Kharif     ,1017.706987,299.970462,102,144,76,29,251,2.460784314,Maize
1997,MANDYA,Kharif     ,1017.69196,299.9692931,78428,97,46,79,137349,1.751275055,Ragi
1997,MANDYA,Rabi       ,1016.31508,300.4175099,2953,64,23,70,4006,1.356586522,Ragi
1997,MANDYA,Summer     ,1016.493204,300.2675252,3386,121,77,40,7000,2.06733609,Ragi
1997,MANDYA,Kharif     ,1016.489332,299.1695739,57997,127,34,27,150905,2.601944928,Rice
1997,MANDYA,Rabi       ,1017.557908,299.8858862,1619,136,54,84,3502,2.16306362,Rice
1997,MANDYA,Summer     ,1017.287846,300.1245272,25359,111,56,97,84560,3.334516345,Rice
1997,MYSORE,Kharif     ,1015.636631,299.4703731,20029,89,20,49,65080,3.249288532,Maize
1997,MYSORE,Rabi       ,1015.341702,299.0884097,1338,134,22,68,2712,2.02690583,Maize
1997,MYSORE,Summer     ,1016.699406,299.6478509,945,129,66,28,2045,2.164021164,Maize
1997,MYSORE,Kharif     ,1017.181773,299.5183856,90302,131,43,36,133034,1.47321211,Ragi
1997,MYSORE,Rabi       ,1017.124759,300.0684722,6089,102,46,88,7875,1.293315815,Ragi
1997,MYSORE,Summer     ,1016.099264,298.8611261,4857,73,59,77,8407,1.73090385,Ragi
1997,MYSORE,Kharif     ,1014.989215,298.5512554,105069,75,55,76,306717,2.919195957,Rice
1997,MYSORE,Rabi       ,1015.624183,298.8389833,817,138,53,81,1767,2.162790698,Rice
1997,MYSORE,Summer     ,1017.736782,299.2271267,20560,109,48,71,56994,2.772081712,Rice
1997,RAICHUR,Kharif     ,1014.105397,303.4920035,9911,90,43,80,34724,3.503581879,Maize
1997,RAICHUR,Rabi       ,1014.557883,304.2939858,336,78,43,59,658,1.958333333,Maize
1997,RAICHUR,Summer     ,1014.777218,304.1142099,339,64,61,57,734,2.16519174,Maize
1997,RAICHUR,Kharif     ,1017.12642,302.9567304,92636,94,23,62,287526,3.103825726,Rice
1997,RAICHUR,Summer     ,1015.619191,303.6228304,79540,114,22,82,190102,2.390017601,Rice
1997,SHIMOGA,Kharif     ,1014.459645,299.7674994,55694,138,53,38,131489,2.360918591,Maize
1997,SHIMOGA,Rabi       ,1016.795666,299.9196402,2,120,76,69,4,2,Maize
1997,SHIMOGA,Summer     ,1014.65977,300.172171,6,58,68,52,13,2.166666667,Maize
1997,SHIMOGA,Kharif     ,1014.370362,301.4951189,20950,137,42,32,19094,0.911408115,Ragi
1997,SHIMOGA,Summer     ,1017.361268,300.5268002,59,50,72,97,109,1.847457627,Ragi
1997,SHIMOGA,Kharif     ,1015.195235,299.9156156,162939,57,75,81,370499,2.27385095,Rice
1997,SHIMOGA,Summer     ,1015.526243,300.0194679,38347,137,71,62,119344,3.112212168,Rice
1997,TUMKUR,Kharif     ,1015.189075,301.0565262,3049,112,42,68,7239,2.374221056,Maize
1997,TUMKUR,Rabi       ,1015.674538,302.4059235,1104,60,64,55,2239,2.02807971,Maize
1997,TUMKUR,Summer     ,1014.885984,300.687635,379,130,24,29,820,2.163588391,Maize
1997,TUMKUR,Kharif     ,1014.129355,302.0274246,180184,57,50,25,195029,1.082388003,Ragi
1997,TUMKUR,Rabi       ,1015.853541,301.2371588,972,84,72,76,1286,1.323045267,Ragi
1997,TUMKUR,Summer     ,1017.263249,302.0615179,600,84,60,20,1111,1.851666667,Ragi
1997,TUMKUR,Kharif     ,1017.570391,301.3196772,22589,82,76,90,57865,2.561645048,Rice
1997,TUMKUR,Rabi       ,1016.964828,301.8219273,909,54,76,77,1963,2.159515952,Rice
1997,TUMKUR,Summer     ,1017.991052,301.8362983,10102,90,79,40,31535,3.121659077,Rice
1997,UTTAR KANNAD,Kharif     ,1017.213049,297.1890587,86,77,73,99,174,2.023255814,Maize
1997,UTTAR KANNAD,Rabi       ,1017.950908,296.8660261,4,56,25,75,6,1.5,Maize
1997,UTTAR KANNAD,Kharif     ,1015.693525,297.0082404,84,122,56,39,92,1.095238095,Ragi
1997,UTTAR KANNAD,Rabi       ,1016.500092,297.0786662,16,121,76,73,22,1.375,Ragi
1997,UTTAR KANNAD,Kharif     ,1014.272682,296.9010631,85415,61,29,44,128113,1.499888778,Rice
1997,UTTAR KANNAD,Rabi       ,1017.214207,297.8786819,2431,83,59,47,4888,2.010695187,Rice
1997,UTTAR KANNAD,Summer     ,1014.715284,297.1451637,2467,82,26,24,4888,1.981353871,Rice
1998,BAGALKOT,Kharif     ,1016.080035,302.5988463,30630,97,58,40,92831,3.030721515,Maize
1998,BAGALKOT,Rabi       ,1014.913778,303.1684041,10520,72,57,37,24026,2.283840304,Maize
1998,BAGALKOT,Summer     ,1014.783911,301.8745581,2252,111,40,66,5016,2.227353464,Maize
1998,BAGALKOT,Kharif     ,1016.248325,302.9400204,197,137,39,89,316,1.604060914,Rice
1998,BANGALORE RURAL,Kharif     ,1014.61694,300.4792468,4870,86,22,76,15072,3.09486653,Maize
1998,BANGALORE RURAL,Rabi       ,1016.686546,299.3687716,68,148,70,38,139,2.044117647,Maize
1998,BANGALORE RURAL,Summer     ,1014.310703,300.8288828,430,93,41,84,978,2.274418605,Maize
1998,BANGALORE RURAL,Kharif     ,1015.153154,299.5156383,145038,135,66,22,242901,1.674740413,Ragi
1998,BANGALORE RURAL,Rabi       ,1016.639979,300.9050424,216,140,23,61,314,1.453703704,Ragi
1998,BANGALORE RURAL,Summer     ,1017.726219,300.3159195,1754,84,47,40,3946,2.249714937,Ragi
1998,BANGALORE RURAL,Kharif     ,1014.375011,299.4309067,14305,114,31,59,39567,2.765955959,Rice
1998,BANGALORE RURAL,Summer     ,1017.934061,300.5215201,6662,148,57,86,21506,3.228159712,Rice
1998,BELGAUM,Kharif     ,1015.560856,299.9917051,75232,96,70,44,239651,3.185492875,Maize
1998,BELGAUM,Rabi       ,1016.82402,299.9104036,30633,127,55,74,58696,1.916103548,Maize
1998,BELGAUM,Summer     ,1017.855984,300.0879328,3505,52,66,71,8044,2.295007133,Maize
1998,BELGAUM,Kharif     ,1017.643576,298.2437819,2625,50,60,63,2325,0.885714286,Ragi
1998,BELGAUM,Kharif     ,1017.503716,298.3504711,62701,54,24,75,114050,1.818950256,Rice
1998,BELGAUM,Summer     ,1016.560149,299.5639493,30,139,32,74,97,3.233333333,Rice
1998,BELLARY,Kharif     ,1014.158619,305.0518203,30252,63,42,89,95976,3.172550575,Maize
1998,BELLARY,Rabi       ,1016.112357,304.6286968,1217,76,77,96,2472,2.031224322,Maize
1998,BELLARY,Summer     ,1017.807993,305.0937103,621,58,69,92,1412,2.273752013,Maize
1998,BELLARY,Kharif     ,1014.953539,304.1223221,6531,128,49,85,5804,0.888684734,Ragi
1998,BELLARY,Summer     ,1015.911022,304.843353,16,64,56,38,36,2.25,Ragi
1998,BELLARY,Kharif     ,1014.130498,305.0590625,39395,139,44,26,124945,3.17159538,Rice
1998,BELLARY,Summer     ,1016.97353,304.3205839,29459,91,67,82,99742,3.385790421,Rice
1998,BENGALURU URBAN,Kharif     ,1017.399115,301.0755367,977,126,46,61,3216,3.291709314,Maize
1998,BENGALURU URBAN,Rabi       ,1017.864498,302.908543,165,100,70,61,338,2.048484848,Maize
1998,BENGALURU URBAN,Summer     ,1017.781899,301.9098534,273,112,33,78,621,2.274725275,Maize
1998,BENGALURU URBAN,Kharif     ,1016.803026,301.4614365,47929,145,76,39,102625,2.141188007,Ragi
1998,BENGALURU URBAN,Rabi       ,1015.075854,301.5685572,278,101,67,92,404,1.45323741,Ragi
1998,BENGALURU URBAN,Summer     ,1017.587345,301.438965,252,145,78,36,567,2.25,Ragi
1998,BENGALURU URBAN,Kharif     ,1014.569644,302.0356891,5124,53,66,46,14255,2.782006245,Rice
1998,BENGALURU URBAN,Summer     ,1014.548556,302.8985522,2121,143,73,66,6847,3.228194248,Rice
1998,BIDAR,Kharif     ,1016.787399,301.2146951,233,72,55,21,585,2.510729614,Maize
1998,BIDAR,Rabi       ,1017.986737,299.9052885,47,64,58,82,78,1.659574468,Maize
1998,BIDAR,Summer     ,1015.501581,300.6550433,26,92,35,81,52,2,Maize
1998,BIDAR,Kharif     ,1014.306323,299.4792119,9587,78,75,38,5825,0.607593616,Rice
1998,BIJAPUR,Kharif     ,1014.047714,300.3938512,5751,85,41,36,21373,3.716397148,Maize
1998,BIJAPUR,Rabi       ,1014.503147,301.5878349,4216,62,40,88,9629,2.283918406,Maize
1998,BIJAPUR,Summer     ,1014.99874,301.0200256,2203,81,73,58,4918,2.23241035,Maize
1998,BIJAPUR,Kharif     ,1017.513077,300.3367686,394,120,40,90,541,1.373096447,Rice
1998,CHAMARAJANAGAR,Kharif     ,1017.303789,295.3069467,7137,108,27,58,30038,4.208771192,Maize
1998,CHAMARAJANAGAR,Rabi       ,1015.355308,294.6256721,1508,135,68,55,3093,2.051061008,Maize
1998,CHAMARAJANAGAR,Summer     ,1016.533318,294.9210275,484,77,35,59,1100,2.272727273,Maize
1998,CHAMARAJANAGAR,Kharif     ,1014.357698,294.9563122,20767,115,78,64,29866,1.43814706,Ragi
1998,CHAMARAJANAGAR,Rabi       ,1014.952888,296.2630167,975,91,74,23,1416,1.452307692,Ragi
1998,CHAMARAJANAGAR,Summer     ,1014.3387,296.1659385,1742,94,50,44,4056,2.328358209,Ragi
1998,CHAMARAJANAGAR,Kharif     ,1014.234339,295.3622729,16108,111,61,88,52488,3.258505091,Rice
1998,CHAMARAJANAGAR,Rabi       ,1016.168757,295.4237276,70,106,29,49,153,2.185714286,Rice
1998,CHAMARAJANAGAR,Summer     ,1017.957093,295.5494413,2287,55,51,95,6709,2.933537385,Rice
1998,CHIKMAGALUR,Kharif     ,1015.985836,297.9457989,460,77,78,87,1567,3.406521739,Maize
1998,CHIKMAGALUR,Kharif     ,1016.64946,296.951411,61058,77,53,48,104235,1.707147303,Ragi
1998,CHIKMAGALUR,Kharif     ,1017.617526,296.8013939,46109,93,28,92,108109,2.344639875,Rice
1998,CHIKMAGALUR,Summer     ,1015.654094,297.101084,3732,133,36,87,10704,2.868167203,Rice
1998,CHITRADURGA,Kharif     ,1017.129536,302.6164371,32832,79,30,70,103976,3.166910331,Maize
1998,CHITRADURGA,Rabi       ,1014.677676,301.0510075,374,111,51,43,767,2.050802139,Maize
1998,CHITRADURGA,Summer     ,1015.004197,302.1894843,180,124,29,33,409,2.272222222,Maize
1998,CHITRADURGA,Kharif     ,1017.033638,302.7067485,61386,141,41,88,95832,1.561137719,Ragi
1998,CHITRADURGA,Rabi       ,1014.381646,300.7783273,51,138,76,37,74,1.450980392,Ragi
1998,CHITRADURGA,Summer     ,1016.673126,300.7500322,972,111,36,61,2263,2.3281893,Ragi
1998,CHITRADURGA,Kharif     ,1015.567645,300.984013,3235,146,23,76,9914,3.064605873,Rice
1998,CHITRADURGA,Rabi       ,1015.384347,302.5894323,730,50,67,31,1518,2.079452055,Rice
1998,CHITRADURGA,Summer     ,1014.139866,302.0255323,5457,76,71,36,16109,2.951988272,Rice
1998,DAKSHIN KANNAD,Kharif     ,1017.410456,301.2823134,39173,111,66,49,79829,2.037857708,Rice
1998,DAKSHIN KANNAD,Rabi       ,1016.828867,300.9104887,24984,126,44,94,52455,2.099543708,Rice
1998,DAKSHIN KANNAD,Summer     ,1014.61118,300.9128597,3597,52,78,42,8927,2.481790381,Rice
1998,DAVANGERE,Kharif     ,1017.11247,302.2723308,103618,119,40,20,383191,3.698112297,Maize
1998,DAVANGERE,Rabi       ,1017.761083,301.4892033,1,121,56,98,2,2,Maize
1998,DAVANGERE,Summer     ,1017.75425,301.1509353,61,76,57,51,139,2.278688525,Maize
1998,DAVANGERE,Kharif     ,1017.905466,302.0126661,35678,58,68,28,61106,1.712708111,Ragi
1998,DAVANGERE,Summer     ,1015.983879,301.7223595,63,111,20,34,142,2.253968254,Ragi
1998,DAVANGERE,Kharif     ,1016.920097,300.992093,66853,86,44,47,217686,3.256188952,Rice
1998,DAVANGERE,Rabi       ,1014.327876,301.0130442,99,146,70,43,216,2.181818182,Rice
1998,DAVANGERE,Summer     ,1014.356925,302.26333,51226,100,55,79,172906,3.375356264,Rice
1998,DHARWAD,Kharif     ,1016.746779,300.5918625,18467,93,36,54,65095,3.524936373,Maize
1998,DHARWAD,Rabi       ,1015.230135,300.7608145,76,73,60,46,154,2.026315789,Maize
1998,DHARWAD,Summer     ,1014.317773,298.8238131,26,128,43,95,53,2.038461538,Maize
1998,DHARWAD,Kharif     ,1016.584888,299.0492501,165,108,21,39,148,0.896969697,Ragi
1998,DHARWAD,Kharif     ,1014.507208,299.0425093,36998,81,59,84,33695,0.910724904,Rice
1998,DHARWAD,Rabi       ,1014.652717,299.4056359,2,145,34,68,3,1.5,Rice
1998,DHARWAD,Summer     ,1015.39266,299.5957812,633,137,51,20,2032,3.210110585,Rice
1998,GADAG,Kharif     ,1014.578306,300.6211653,17956,101,58,29,64872,3.612831366,Maize
1998,GADAG,Rabi       ,1016.039289,301.0752096,17,111,78,66,35,2.058823529,Maize
1998,GADAG,Summer     ,1015.968669,300.819997,90,107,25,78,205,2.277777778,Maize
1998,GADAG,Kharif     ,1016.675248,301.6776338,18,101,20,81,26,1.444444444,Ragi
1998,GADAG,Kharif     ,1017.08612,301.5597453,815,61,66,37,1884,2.311656442,Rice
1998,GADAG,Rabi       ,1015.417474,300.6475174,2,88,42,65,3,1.5,Rice
1998,GADAG,Summer     ,1015.383221,300.1473685,227,51,77,51,678,2.986784141,Rice
1998,GULBARGA,Kharif     ,1015.618204,300.6748299,1312,52,58,46,4287,3.267530488,Maize
1998,GULBARGA,Rabi       ,1017.150201,300.7711748,163,105,76,37,331,2.030674847,Maize
1998,GULBARGA,Summer     ,1014.940986,301.8855794,546,130,36,58,1241,2.272893773,Maize
1998,GULBARGA,Kharif     ,1015.983917,302.1121025,5,108,53,68,4,0.8,Ragi
1998,GULBARGA,Kharif     ,1014.293153,301.4313827,13228,51,78,63,17439,1.318339885,Rice
1998,GULBARGA,Rabi       ,1014.480958,300.5696452,4595,51,60,91,9858,2.145375408,Rice
1998,GULBARGA,Summer     ,1017.094869,300.56406,4379,141,48,73,14038,3.205754739,Rice
1998,HASSAN,Kharif     ,1014.194984,297.2772724,5057,103,28,53,16901,3.342100059,Maize
1998,HASSAN,Rabi       ,1015.394454,296.8976334,156,136,32,90,304,1.948717949,Maize
1998,HASSAN,Summer     ,1017.153166,297.4905201,29,145,25,55,66,2.275862069,Maize
1998,HASSAN,Kharif     ,1014.772326,297.7217939,115642,146,25,37,215818,1.866259663,Ragi
1998,HASSAN,Rabi       ,1017.703237,298.1464923,18889,50,39,57,24563,1.300386468,Ragi
1998,HASSAN,Summer     ,1016.298345,297.3852274,488,68,71,78,1098,2.25,Ragi
1998,HASSAN,Kharif     ,1014.712035,297.8354866,55878,51,72,28,129213,2.312412756,Rice
1998,HASSAN,Rabi       ,1017.422274,297.2341205,2937,102,22,92,7771,2.645897174,Rice
1998,HASSAN,Summer     ,1014.119722,296.7676112,7869,93,36,91,19264,2.448087432,Rice
1998,HAVERI,Kharif     ,1015.519513,299.8677225,53828,139,68,70,174707,3.24565282,Maize
1998,HAVERI,Rabi       ,1014.244955,300.3321688,80,81,31,54,164,2.05,Maize
1998,HAVERI,Summer     ,1016.345559,300.7401477,175,119,67,24,387,2.211428571,Maize
1998,HAVERI,Kharif     ,1017.263917,300.4408624,4756,81,66,33,4079,0.85765349,Ragi
1998,HAVERI,Kharif     ,1014.497975,300.3767859,52395,117,64,49,78129,1.491153736,Rice
1998,HAVERI,Summer     ,1016.167393,300.3872559,1980,104,74,23,5204,2.628282828,Rice
1998,KODAGU,Kharif     ,1015.817425,306.5994699,1495,124,20,58,5800,3.879598662,Maize
1998,KODAGU,Kharif     ,1016.049945,307.165524,425,105,36,83,460,1.082352941,Ragi
1998,KODAGU,Kharif     ,1016.644623,306.5528012,40092,66,22,44,83315,2.078095381,Rice
1998,KODAGU,Rabi       ,1014.835944,307.4183141,24,87,45,47,52,2.166666667,Rice
1998,KODAGU,Summer     ,1015.311988,306.6025195,550,73,34,95,1775,3.227272727,Rice
1998,KOLAR,Kharif     ,1016.63684,300.5921482,13482,118,55,85,45983,3.410695742,Maize
1998,KOLAR,Rabi       ,1016.046132,302.2958863,64,147,51,97,131,2.046875,Maize
1998,KOLAR,Summer     ,1017.464498,301.5708115,475,119,51,41,1080,2.273684211,Maize
1998,KOLAR,Kharif     ,1014.073389,302.5017061,117395,135,23,50,220794,1.880778568,Ragi
1998,KOLAR,Rabi       ,1017.624251,302.3378915,150,60,37,42,218,1.453333333,Ragi
1998,KOLAR,Summer     ,1017.649698,300.677426,899,65,68,67,2022,2.24916574,Ragi
1998,KOLAR,Kharif     ,1014.123554,300.8897953,13466,146,38,39,34437,2.557329571,Rice
1998,KOLAR,Rabi       ,1017.417043,300.6518674,260,122,62,57,568,2.184615385,Rice
1998,KOLAR,Summer     ,1017.608437,302.2317189,15541,108,71,74,44823,2.884177337,Rice
1998,KOPPAL,Kharif     ,1014.750214,302.3888267,14984,119,54,87,54206,3.617592098,Maize
1998,KOPPAL,Rabi       ,1017.930624,302.6106464,285,129,59,98,583,2.045614035,Maize
1998,KOPPAL,Summer     ,1016.036983,303.2964615,395,142,33,20,898,2.273417722,Maize
1998,KOPPAL,Kharif     ,1015.800893,303.5124384,35128,52,77,26,119948,3.414598041,Rice
1998,KOPPAL,Summer     ,1017.910043,301.892869,33719,69,52,76,113461,3.364898129,Rice
1998,MANDYA,Kharif     ,1016.64601,299.31025,22,108,33,31,77,3.5,Maize
1998,MANDYA,Kharif     ,1015.427855,300.1502239,80593,85,53,24,156027,1.935986996,Ragi
1998,MANDYA,Rabi       ,1016.059732,298.6798351,2401,68,74,69,3488,1.45272803,Ragi
1998,MANDYA,Summer     ,1015.769206,299.2322737,2473,139,23,61,5244,2.120501415,Ragi
1998,MANDYA,Kharif     ,1015.82616,299.8211616,60785,116,43,31,178974,2.944377725,Rice
1998,MANDYA,Summer     ,1015.076046,300.2082625,19107,68,78,37,66689,3.490291516,Rice
1998,MYSORE,Kharif     ,1017.889465,299.0335118,17459,69,48,85,74847,4.287015293,Maize
1998,MYSORE,Rabi       ,1014.773011,299.0721969,109,145,38,93,215,1.972477064,Maize
1998,MYSORE,Summer     ,1016.40817,298.6207138,34,120,25,98,77,2.264705882,Maize
1998,MYSORE,Kharif     ,1014.667589,298.3162664,71644,101,76,36,115488,1.611970298,Ragi
1998,MYSORE,Rabi       ,1017.238944,300.0147608,10701,82,52,87,14587,1.363143631,Ragi
1998,MYSORE,Summer     ,1016.880134,299.8377259,1325,89,68,90,3085,2.328301887,Ragi
1998,MYSORE,Kharif     ,1014.289307,299.2798509,95399,88,59,81,291632,3.056971247,Rice
1998,MYSORE,Rabi       ,1015.283576,299.248163,612,131,38,60,1336,2.183006536,Rice
